action;state;qvalue
-2.0;S<5.0, 10>;6.0
-4.0;S<5.0, 10>;0.0
-6.0;S<5.0, 10>;0.0
2.0;S<5.0, 10>;0.0
4.0;S<5.0, 10>;0.0
6.0;S<5.0, 10>;0.0
-2.0;S<3.0, 10>;-8.4
-4.0;S<3.0, 10>;-2.6928
-6.0;S<3.0, 10>;-2.37024
2.0;S<3.0, 10>;56.44693392675088
4.0;S<3.0, 10>;0.0
6.0;S<3.0, 10>;0.0
-2.0;S<5.0, 6>;45.562213063515145
-4.0;S<5.0, 6>;0.0
-6.0;S<5.0, 6>;0.0
2.0;S<5.0, 6>;0.0
4.0;S<5.0, 6>;0.0
6.0;S<5.0, 6>;0.0
2.0;S<-3.0, 22>;-3.6
4.0;S<-3.0, 22>;7.6
6.0;S<-3.0, 22>;0.0
2.0;S<-1.0, 18>;8.7696
4.0;S<-1.0, 18>;0.0
6.0;S<-1.0, 18>;0.0
-2.0;S<1.0, 14>;-3.096
-4.0;S<1.0, 14>;-13.200000000000001
-6.0;S<1.0, 14>;-26.0
2.0;S<1.0, 14>;17.233806658494917
4.0;S<1.0, 14>;0.0
6.0;S<1.0, 14>;0.0
2.0;S<-5.0, 26>;-12.120000000000001
4.0;S<-5.0, 26>;0.0
6.0;S<-5.0, 26>;0.0
-2.0;S<7.0, 2>;16.1564483584
-4.0;S<7.0, 2>;0.0
-6.0;S<7.0, 2>;0.0
2.0;S<7.0, 2>;0.0
4.0;S<7.0, 2>;0.0
6.0;S<7.0, 2>;0.0
-2.0;S<9.0, -2>;-13.200000000000001
-4.0;S<9.0, -2>;20.08177030660018
-6.0;S<9.0, -2>;0.0
2.0;S<9.0, -2>;0.0
4.0;S<9.0, -2>;0.0
6.0;S<9.0, -2>;0.0
-2.0;S<11.0, -6>;-3.6
-4.0;S<11.0, -6>;0.0
-6.0;S<11.0, -6>;0.0
2.0;S<11.0, -6>;0.0
4.0;S<11.0, -6>;0.0
6.0;S<11.0, -6>;0.0